tweet_id,airline_sentiment,text
570306133677760500,neutral,@VirginAmerica What @dhepburn said.
5.7030113088812237e+017,positive,@VirginAmerica plus you've added commercials to the experience... tacky.
5.7030108367281357e+017,neutral,@VirginAmerica I didn't today... Must mean I need to take another trip!
570301031407624200,negative,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
570300817074462700,negative,@VirginAmerica and it's a really big bad thing about it
570300767074181100,negative,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
570300616901320700,positive,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
570300248553349100,neutral,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
570299953286942700,positive,"@virginamerica Well, I didn't…but NOW I DO! :-D"
570295459631263740,positive,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
570294189143031800,neutral,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
570289724453216260,positive,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
570289584061480960,positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
570287408438120450,positive,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
570285904809599e3,positive,@VirginAmerica Thanks!
570282469121007600,negative,@VirginAmerica SFO-PDX schedule is still MIA.
570277724385734660,positive,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
570276917301137400,negative,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
570270684619923460,positive,I ❤️ flying @VirginAmerica. ☺️👍
570267956648792060,positive,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
570265883513384960,negative,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
570264145116819460,positive,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
570259420287868900,positive,@VirginAmerica I love the hipster innovation. You are a feel good brand.
570258822297579500,neutral,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?
570256553502068740,negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
570249102404923400,negative,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
570239632807370750,negative,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
570217831557677060,neutral,@VirginAmerica do you miss me? Don't worry we'll be together very soon.
570207886493782e3,negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
570124596180955140,neutral,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
570114021854212100,negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
570094701371469800,neutral,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
570088404156698600,negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
570084582780899300,negative,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
570076792993611800,positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
570051991277342700,neutral,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
570051381534396400,positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
570045393565691900,positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
570038941497192450,neutral,@VirginAmerica when can I book my flight to Hawaii??
570035876845084700,negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
570033593394667500,positive,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
570025482344898560,negative,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
570016304284901400,neutral,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️
570015408788414460,neutral,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
570013523650048e3,neutral,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
570012257549070340,positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!
570011341483843600,neutral,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
5.7001057170725683e+017,positive,@VirginAmerica wow this just blew my mind
570010539499393e3,neutral,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
570009713447825400,neutral,@VirginAmerica @ladygaga @carrieunderwood All were entertaining
570009035455344640,neutral,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
570006886012973060,positive,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
5.7000439173184717e+017,neutral,@VirginAmerica wish you flew out of Atlanta... Soon?
570001194900426750,neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
570000071644872700,neutral,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
569996412286582800,negative,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
569996245462159360,positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
569990222609412100,positive,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
569990163209850900,neutral,@VirginAmerica @ladygaga @carrieunderwood - Carrie!
569989504431317e3,neutral,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
569989321698074600,neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
569989034501500900,negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
569987622484848640,neutral,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌"
569986782567071740,neutral,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
569986348041547800,positive,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
569982307634794500,neutral,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
569976620158578700,negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
569973821396152300,negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
5.6997250849928397e+017,positive,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
569967019958730750,negative,@VirginAmerica everything was fine until you lost my bag
569961866224652300,neutral,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
5.6994989116361523e+017,neutral,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.
569948966873370600,neutral,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"
569946362126602240,negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
569942903683813400,positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
569941957490774e3,positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
569940834994401300,neutral,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
569940323746517e3,neutral,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks
